Domain,Tier
samsclub.com,S
costco.com,S
walmart.com,S
homedepot.com,S
lowes.com,S
zoro.com,S
globalindustrial.com,S
vitaminshoppe.com,S
staples.com,S
officedepot.com,S
walgreens.com,A
cvs.com,A
kohls.com,A
bjs.com,A
acehardware.com,A
tractorsupply.com,A
grainger.com,A
northerntool.com,A
webstaurantstore.com,A
quill.com,A
bestbuy.com,A
bhphotovideo.com,A
iherb.com,A
swansonvitamins.com,A
macys.com,A
ulta.com,A
sephora.com,A
menards.com,A
microcenter.com,A
newegg.com,A
vitacost.com,A
meijer.com,B
kroger.com,B
nordstromrack.com,B
saksoff5th.com,B
jcpenney.com,B
belk.com,B
bloomingdales.com,B
dickssportinggoods.com,B
academy.com,B
rei.com,B
basspro.com,B
cabelas.com,B
scheels.com,B
petsmart.com,B
petsuppliesplus.com,B
michaels.com,B
hobbylobby.com,B
worldmarket.com,B
williams-sonoma.com,B
surlatable.com,B
crateandbarrel.com,B
wayfair.com,B
jomashop.com,B
adorama.com,B
sallybeauty.com,B
gnc.com,B
autozone.com,B
advanceautoparts.com,B
oreillyauto.com,B
napaonline.com,B
tjmaxx.tjx.com,C
marshalls.com,C
sierra.com,C
burlington.com,C
rossstores.com,C
ollies.us,C
fivebelow.com,C
dollargeneral.com,C
dollartree.com,C
familydollar.com,C
gamestop.com,C
barnesandnoble.com,C
bathandbodyworks.com,C
dermstore.com,C
sweetwater.com,C
musiciansfriend.com,C
faire.com,D
unfi.com,D
kehe.com,D
ingrammicro.com,D
tdsynnex.com,D
dandh.com,D
petra.com,D
eedistribution.com,D
ssactivewear.com,D
sanmar.com,D
dollardays.com,D
koleimports.com,D
4sgm.com,D
